Date,Open,High,Low,Last,Volume,Turnover
2017-08-03,79.25,80.07,79.11,79.6,908283.0,72319144.05
2017-08-02,80.73,80.96,78.94,79.31,980050.0,78072106.37
2017-08-01,81.32,81.32,80.03,80.74,1037458.0,83630241.44
2017-07-31,80.16,80.62,79.6,79.93,1116871.0,89377571.05
2017-07-28,81.4,81.41,80.04,80.16,1086489.0,87530192.95
2017-07-27,81.52,82.2,80.03,81.47,1253854.0,101899377.63
2017-07-26,81.65,82.27,81.57,82.26,824144.0,67663183.14
2017-07-25,80.83,82.7,80.83,81.67,870438.0,71298417.4
2017-07-24,81.21,81.38,80.69,81.03,649271.0,52609092.53
2017-07-21,81.1,81.87,80.46,81.05,1590952.0,128888641.11
2017-07-20,82.86,83.0,81.12,81.5,923163.0,75765992.15
2017-07-19,82.0,83.07,81.72,82.76,927163.0,76399059.99
2017-07-18,83.0,83.19,81.65,81.65,982079.0,80611584.83
2017-07-17,83.41,83.72,82.6,83.05,915506.0,76040578.88
2017-07-14,83.25,83.88,82.94,83.43,501951.0,41887942.64
2017-07-13,83.25,83.47,82.88,83.1,672326.0,55880117.72
2017-07-12,81.7,83.43,81.7,83.19,1252002.0,103788406.34
2017-07-11,82.07,82.17,81.51,81.51,1161319.0,94933983.225
2017-07-10,82.26,82.4,81.83,82.0,747506.0,61335677.71
2017-07-07,81.05,81.97,81.05,81.97,634930.0,51827446.09
2017-07-06,81.96,82.43,80.83,81.05,872808.0,70972129.36
2017-07-05,82.5,82.62,81.63,81.89,835567.0,68556044.59
2017-07-04,80.92,81.15,80.48,80.89,460350.0,37237352.02
2017-07-03,80.67,81.28,80.53,80.99,806801.0,65327755.3
2017-06-30,79.8,81.3,79.8,80.24,1418876.0,114215606.28
2017-06-29,81.08,81.17,79.3,79.84,1166805.0,93342714.29
2017-06-28,81.14,81.41,80.12,80.91,835578.0,67526477.74
2017-06-27,81.62,81.73,80.82,81.37,934621.0,76029526.81
2017-06-26,81.9,82.79,81.9,82.01,805519.0,66271208.02
2017-06-23,81.85,82.15,81.48,81.82,783165.0,64099182.04
2017-06-22,81.52,81.95,81.39,81.92,1092120.0,89252261.68
2017-06-21,80.73,81.53,80.05,81.48,1085848.0,88095118.66
2017-06-20,81.0,81.68,80.81,81.14,1070762.0,86876515.85
